date,tmax,tmin,tmean,rh_mean,wind_speed_max,pressure_mean,solar_radiation_sum,cloud_cover_mean
2015-01-01,19.2,11.1,14.5,79,17.8,965.9,11.18,57
2015-01-02,18.1,11.7,14.9,79,16.0,966.7,7.92,79
2015-01-03,18.7,10.5,14.9,78,6.7,966.9,8.02,66
2015-01-04,20.3,7.5,13.1,75,9.3,968.7,14.22,33
2015-01-05,22.3,8.0,13.9,67,15.3,967.0,15.66,0
2015-01-06,22.6,8.0,14.8,68,15.0,965.2,15.45,0
2015-01-07,22.0,8.4,14.6,71,10.7,964.7,15.57,0
2015-01-08,20.7,7.1,13.6,73,8.0,966.9,15.86,0
2015-01-09,21.1,6.8,13.7,69,8.0,968.2,16.0,1
2015-01-10,22.9,5.6,13.9,65,12.1,967.6,15.97,23
2015-01-11,24.2,7.2,14.8,63,11.5,967.7,16.29,35
2015-01-12,23.0,6.8,14.6,69,10.8,967.3,16.34,63
2015-01-13,21.2,8.1,14.0,75,15.5,965.4,16.03,50
2015-01-14,21.1,10.2,14.3,72,12.9,964.8,13.79,26
2015-01-15,18.3,7.9,12.4,79,6.9,968.1,13.9,41
2015-01-16,19.0,7.8,12.9,70,9.0,968.4,15.2,10
2015-01-17,20.2,7.8,13.7,68,8.4,968.6,16.46,21
2015-01-18,20.6,6.3,13.8,65,8.7,967.9,16.57,0
2015-01-19,20.7,7.1,13.8,68,8.9,967.4,16.6,6
2015-01-20,20.8,8.3,14.2,68,18.3,967.6,16.76,30
2015-01-21,21.3,11.4,15.5,76,16.9,968.5,13.4,46
2015-01-22,19.0,12.6,15.3,87,14.1,968.1,8.35,93
2015-01-23,18.0,12.1,14.7,87,8.3,968.5,9.08,74
2015-01-24,18.1,9.6,13.3,76,8.5,969.2,13.47,52
2015-01-25,19.0,7.7,13.7,72,9.4,969.0,14.61,39
2015-01-26,17.8,11.6,14.1,74,9.2,968.7,11.34,67
2015-01-27,18.1,9.2,13.3,68,9.8,968.5,16.12,28
2015-01-28,16.8,6.8,11.4,66,11.0,967.4,17.54,7
2015-01-29,18.6,4.3,11.1,65,9.3,967.9,17.82,0
2015-01-30,19.1,5.1,11.9,59,9.7,970.0,17.95,0
2015-01-31,21.3,5.5,13.7,53,8.9,967.4,17.78,0
2015-02-01,22.9,7.8,15.4,59,16.3,966.0,16.46,12
2015-02-02,23.5,11.7,17.0,69,17.3,965.5,17.55,4
2015-02-03,23.4,11.3,16.5,71,17.7,969.0,17.69,1
2015-02-04,22.2,8.2,14.5,65,12.6,971.8,18.76,0
2015-02-05,21.7,6.7,13.6,63,8.9,969.0,18.97,5
2015-02-06,22.8,8.3,15.3,59,13.7,967.5,18.28,15
2015-02-07,22.9,12.1,16.5,68,14.8,966.2,16.19,19
2015-02-08,23.5,12.3,17.3,70,13.8,966.4,17.46,18
2015-02-09,23.6,11.9,17.4,57,12.0,969.2,18.36,8
2015-02-10,23.9,10.9,17.2,53,9.7,969.4,19.05,5
2015-02-11,24.0,10.0,17.0,56,9.6,966.6,18.22,2
2015-02-12,24.0,10.7,16.7,49,10.6,966.0,19.47,0
2015-02-13,26.6,8.5,17.5,44,14.1,963.8,19.37,0
2015-02-14,29.5,13.5,20.8,43,19.5,961.2,19.3,0
2015-02-15,28.7,13.0,21.0,53,10.2,962.6,19.17,25
2015-02-16,29.2,14.2,21.5,54,17.0,963.2,19.29,16
2015-02-17,29.7,14.2,21.7,61,12.2,962.2,19.53,1
2015-02-18,27.7,15.2,21.3,67,9.9,962.3,18.67,15
2015-02-19,30.4,15.6,22.8,47,13.4,962.3,19.6,16
2015-02-20,30.6,15.4,22.7,43,11.5,963.8,19.55,9
2015-02-21,31.0,14.2,22.7,43,15.5,965.4,20.2,0
2015-02-22,31.3,16.0,23.1,46,15.4,965.5,20.43,29
2015-02-23,30.9,15.6,23.2,47,9.4,965.5,18.28,72
2015-02-24,31.3,16.2,23.8,48,15.5,962.2,14.28,93
2015-02-25,29.2,17.8,23.5,34,22.1,960.2,19.01,66
2015-02-26,25.1,12.4,18.7,19,11.7,960.7,21.85,12
2015-02-27,25.6,12.1,18.7,26,12.2,962.3,21.75,0
2015-02-28,26.7,14.2,19.7,45,22.1,962.9,18.17,43
2015-03-01,21.3,15.5,17.6,83,21.5,959.5,10.29,89
2015-03-02,20.9,14.5,16.7,83,13.8,961.8,12.37,67
2015-03-03,21.5,10.7,15.9,66,11.8,963.9,20.59,13
2015-03-04,22.5,10.2,16.2,60,12.3,963.8,20.73,13
2015-03-05,24.3,11.5,17.9,55,13.9,965.3,19.83,15
2015-03-06,25.7,12.7,19.2,54,9.3,966.5,20.64,14
2015-03-07,26.6,15.0,19.8,59,16.3,964.3,19.14,47
2015-03-08,26.2,14.0,19.6,61,18.4,964.7,22.14,6
2015-03-09,24.0,11.5,17.3,35,18.3,970.0,23.74,0
2015-03-10,23.8,9.6,16.5,53,12.1,969.9,23.59,27
2015-03-11,27.1,10.2,18.9,48,12.8,968.2,22.31,68
2015-03-12,28.1,14.5,20.9,53,12.8,967.8,18.32,58
2015-03-13,28.5,16.2,20.8,64,17.3,965.2,19.18,55
2015-03-14,25.1,15.7,19.5,72,14.3,966.1,12.66,92
2015-03-15,23.1,14.9,18.4,83,25.2,964.2,15.08,79
2015-03-16,24.1,15.3,18.7,79,13.0,966.2,18.51,60
2015-03-17,26.2,13.8,19.5,66,16.1,967.3,22.75,15
2015-03-18,26.1,12.7,19.1,58,15.8,965.1,24.18,1
2015-03-19,28.1,12.4,20.4,56,9.4,965.5,23.82,25
2015-03-20,30.5,14.7,22.7,52,10.2,965.7,23.58,12
2015-03-21,31.7,18.5,24.7,49,11.2,966.1,20.74,30
2015-03-22,33.0,18.5,25.8,45,18.3,965.1,23.49,41
2015-03-23,33.4,17.4,25.8,45,18.9,962.6,23.66,2
2015-03-24,35.8,19.2,27.4,36,13.9,962.2,24.29,2
2015-03-25,35.9,20.6,28.5,37,15.0,963.5,23.89,48
2015-03-26,35.2,21.8,28.3,40,13.4,965.4,21.6,87
2015-03-27,34.8,22.6,28.7,38,11.1,965.0,23.17,26
2015-03-28,35.7,20.2,28.4,36,10.2,962.1,24.28,26
2015-03-29,33.9,22.6,27.0,37,14.2,959.5,15.16,93
2015-03-30,32.4,19.7,26.0,42,21.5,960.1,22.35,32
2015-03-31,31.8,18.2,24.9,56,15.1,961.4,23.5,12
2015-04-01,34.2,18.3,26.7,49,12.8,959.8,24.61,17
