date,tmax,climatology_normal_loyo,climatology_p95_loyo,climatology_p98_loyo,heatwave,severe
2015-01-01,19.2,21.185185185185187,24.93,25.695999999999998,0,0
2015-01-02,18.1,21.066666666666666,24.93,25.695999999999998,0,0
2015-01-03,18.7,20.960740740740743,24.83,25.695999999999998,0,0
2015-01-04,20.3,20.868148148148148,24.83,25.695999999999998,0,0
2015-01-05,22.3,20.893333333333334,24.86,25.695999999999998,0,0
2015-01-06,22.6,20.92222222222222,24.86,25.695999999999998,0,0
2015-01-07,22.0,20.919259259259263,25.09,25.9,0,0
2015-01-08,20.7,20.967407407407407,25.39,25.932,0,0
2015-01-09,21.1,20.925185185185182,25.39,25.932,0,0
2015-01-10,22.9,20.89481481481481,25.53,25.932,0,0
2015-01-11,24.2,20.855555555555554,25.6,26.0,0,0
2015-01-12,23.0,20.894074074074073,25.6,26.064,0,0
2015-01-13,21.2,20.936296296296295,25.6,26.095999999999997,0,0
2015-01-14,21.1,21.001481481481484,25.53,26.095999999999997,0,0
2015-01-15,18.3,21.05333333333333,25.43,26.095999999999997,0,0
2015-01-16,19.0,21.12962962962963,25.43,26.095999999999997,0,0
2015-01-17,20.2,21.20740740740741,25.53,26.3,0,0
2015-01-18,20.6,21.237037037037037,25.53,26.3,0,0
2015-01-19,20.7,21.245925925925924,25.53,26.3,0,0
2015-01-20,20.8,21.246666666666666,25.53,26.3,0,0
2015-01-21,21.3,21.258518518518517,25.43,26.3,0,0
2015-01-22,19.0,21.389629629629628,25.65,26.364,0,0
2015-01-23,18.0,21.56074074074074,26.09,26.891999999999996,0,0
2015-01-24,18.1,21.766666666666666,26.3,27.364,0,0
2015-01-25,19.0,21.988888888888887,26.36,27.755999999999993,0,0
2015-01-26,17.8,22.150370370370368,26.56,27.891999999999996,0,0
2015-01-27,18.1,22.275555555555552,26.88,27.891999999999996,0,0
2015-01-28,16.8,22.437777777777775,26.88,27.891999999999996,0,0
2015-01-29,18.6,22.544444444444444,26.88,27.891999999999996,0,0
