feature,importance
tmax_departure,0.5798744934154539
tmax,0.0782455593865238
doy_cos,0.04151692837262422
tmean,0.03461564180714396
doy_sin,0.03444942337483395
rh_mean,0.034171701369235565
tmax_lag1,0.03406374811503968
solar_radiation_sum,0.020007318274813588
tmax_lag2,0.01868916152057212
tmin_lag3,0.017067573175285844
utci,0.015013281711879583
wbgt,0.013461685231926033
tmin_lag2,0.01327815827870739
tmax_lag3,0.013104242352132884
tmin,0.012265129140122318
tmin_lag1,0.010960391977717013
pressure_mean,0.010418470675454582
cloud_cover_mean,0.010278008809265486
wind_speed_max,0.00851908301126814
